ID,Project,Category,TypeOfIssue,FundLost,FundsReturned,FundsRecovered,IsVerifiedSourceCode,IsPublicedTeam,Date
2895,Binance,CeFi,Access Control,41700000,0,,0,0,2019-5-7
3284,Bo Shen Wallet Hack,Other,Access Control,41053572,0,,0,1,2022-11-10
2911,Coinrail,CeFi,Access Control,40000000,0,,0,0,2018-6-10
2743,Grim Finance,Yield Aggregator,Reentrancy,40000000,0,,0,0,2021-12-19
733,Alpha Finance Lab,Other,Flash Loan Attack,37500000,3700000,,0,0,2021-2-13
2596,Cream Finance,Borrowing and Lending,Other,36154954,0,,0,0,2021-8-31
2829,IRA Financial,Other,Other,36000000,0,,0,1,2022-2-8
2638,Vee Finance,Borrowing and Lending,Other,36000000,0,,,,2021-9-21
3155,Scream,"Borrowing and Lending,Stablecoin",Oracle Issue,35000000,0,,0,0,2022-5-15
2778,Crypto.com,CeFi,Access Control,34358003,34358003,,0,1,2022-1-17
2927,Parity (2),Other,Other,34000000,0,,0,1,2017-7-19
2884,Bitpoint,CeFi,Access Control,32000000,0,,0,0,2019-7-12
2775,DEFI100,Stablecoin,Rugpull,32000000,0,,0,0,2021-5-23
2710,MonoX,Exchange (DEX),Other,31400000,0,,0,0,2021-12-1
2920,Tether,Stablecoin,Other,30950010,0,,0,0,2017-11-19
2368,Meerkat Finance,Yield Aggregator,Rugpull,30883780,0,,0,0,2021-3-4
2351,Spartan Protocol,Exchange (DEX),Flash Loan Attack,30500000,0,,0,0,2021-5-2
2910,Bithumb (2),CeFi,Access Control,30000000,0,,0,0,2018-6-19
2699,SnowdogDAO,Other,Rugpull,30000000,0,,0,0,2021-11-26
3200,Transit Swap,Exchange (DEX),Other,28900000,19140000,,0,0,2022-10-1
3252,Deribit Exchange,CeFi,Access Control,28317206,0,,0,1,2022-11-1
3045,Wintermute,Other,Other,27600000,23460000,,1,1,2022-6-9
125,Paid Network (old),Other,Other,27418034,0,,0,0,2021-3-5
2885,Bitmarket,CeFi,Rugpull,27100000,0,,0,0,2019-7-8
2350,StableMagnet,Other,Rugpull,27000000,24000000,,0,0,2021-6-23
2902,Coinbin,CeFi,Access Control,26000000,0,,0,0,2019-2-20
2580,Lendf.Me,Borrowing and Lending,Other,25236849,25236849,,0,0,2020-4-19
2369,xToken,Token,Flash Loan Attack,24000000,0,,0,0,2021-5-12
749,Harvest Finance,Yield Aggregator,Flash Loan Attack,24000000,2500000,,0,0,2020-10-26
2549,Bancor,Exchange (DEX),Other,23500000,0,,,,2018-7-9
2990,Elephant Money,Exchange (DEX),Flash Loan Attack,22200000,0,,0,0,2022-4-12
2734,Bilaxy,CeFi,Other,21709378,0,,0,0,2021-8-29
3115,TBIS,Other,Rugpull,21000000,0,,0,0,2022-7-27
3080,Bilaxy,CeFi,Access Control,21000000,0,,0,1,2021-8-29
3116,Freedom Protocol | Raccoon Network,"Gaming / Metaverse,Yield Aggregator",Rugpull,20800000,0,,0,0,2022-7-19
2421,Popsicle Finance,Yield Aggregator,Other,20500000,0,,,,2021-8-3
3303,Auros,CeFi,Other,20000000,0,,0,1,2022-12-20
42,Yfdex.Finance,CeFi,Rugpull,20000000,0,,,,2020-9-9
2353,Pickle Finance,Yield Aggregator,Other,19700000,0,,,,2020-11-21
2897,Bithumb (3),CeFi,Access Control,19200000,14000000,,0,0,2019-3-29
3262,Pando,Exchange (DEX),Access Control,18577305,0,,0,0,2022-11-5
2764,Lympo,NFT,Access Control,18500000,0,,0,1,2022-1-10
2993,DEUS Finance (2),Other,Flash Loan Attack,17900000,0,,0,0,2022-4-28
2877,Electrum (2),Other,Access Control,17700000,0,,0,0,2020-1-19
3285,Flare Token,Token,Rugpull,17010503,0,,0,0,2022-11-13
2679,Indexed Finance,Other,Other,16000000,0,,0,0,2021-10-14
2540,Rari Capital,Yield Aggregator,Flash Loan Attack,15723948,0,,0,0,2021-5-8
2823,Dego Finance,"Gaming / Metaverse,NFT",Access Control,15444277,0,,0,0,2022-2-9
2545,Eminence Finance,Gaming / Metaverse,Flash Loan Attack,15113001,8000000,,0,0,2020-9-29
3072,Starstream / Agora,Yield Aggregator,Other,15000000,0,,0,0,2022-4-7
2867,Electrum (3),Other,Access Control,15000000,0,,0,0,2020-8-30
3061,Inverse Finance (1),Borrowing and Lending,Oracle Issue,14500000,0,,1,0,2022-4-2
2554,FURUCOMBO,"Other,Yield Aggregator",Other,14000000,0,,0,0,2021-3-1
3245,Team Finance,Other,Other,13073700,0,,1,1,2022-10-27
2992,Bored Ape Yacht Club,NFT,Other,13000000,0,,0,0,2022-4-25
2825,Superfluid,,Other,13000000,0,,0,0,2022-2-8
2640,pNetwork,Bridge,Other,12700000,0,,,,2021-9-19
249,Compounder Finance,,Rugpull,12326985,0,,,,2020-12-1
2928,CoinDash,Other,Other,12200000,0,,0,0,2017-7-1
3296,Defrost Finance,Stablecoin,Rugpull,12000000,12000000,,1,0,2022-12-23
2863,EXMO,CeFi,Access Control,11700000,0,,0,0,2020-12-21
2355,Value DeFi (3),Exchange (DEX),Other,11000000,0,,,,2021-5-7
2352,bEarn Fi,,Flash Loan Attack,11000000,0,,0,0,2021-5-16
796,yearn.finance,Yield Aggregator,Flash Loan Attack,11000000,1700000,,0,0,2021-2-5
2893,Kraken,CeFi,Access Control,10500000,0,,0,0,2019-6-2
2918,Youbit,CeFi,Other,10000000,0,,0,0,2017-12-19
2891,GateHub,,Access Control,10000000,0,,0,0,2019-6-6
2759,Arbix Finance,,Rugpull,10000000,0,,0,0,2022-1-4
2578,SharkTron,,Rugpull,10000000,0,,,,2020-10-28
2354,Value DeFi (2),Exchange (DEX),Other,10000000,0,,,,2021-5-5
2945,Cryptsy,CeFi,Access Control,9890000,0,,0,0,2014-7-29
2724,Pizza,,Other,9863088,0,,0,0,2021-12-8
3027,BreedTech,,Rugpull,9400000,0,,1,0,2022-5-29
2546,Cover Protocol,,Other,9400000,3200000,,,,2020-12-28
3228,Moola Market,Borrowing and Lending,Other,9100000,8472100,,1,1,2022-10-18
2907,Trade.io,CeFi,Access Control,9000000,0,,0,0,2018-10-20
2558,Punk Protocol,,Other,8900000,0,,,,2021-8-10
3071,Crema Finance,Exchange (DEX),Other,8782446,7356932,,1,0,2022-7-2
2807,Mt. Gox (2),CeFi,Other,8750000,0,,0,0,2011-6-13
3006,Blizz Finance,Borrowing and Lending,Rugpull,8300000,0,,1,0,2022-5-14
2780,Haven Protocol,,Other,8186549,0,,0,0,2021-7-3
2362,bZx (3),Other,Other,8100000,8100000,,,,2020-9-13
3301,BitKeep,Other,Phishing,8000000,0,,0,0,2022-12-26
3088,Uniswap (Fake),Exchange (DEX),Phishing,8000000,0,,0,0,2022-7-11
2553,THORChain (2),Exchange (DEX),Other,8000000,0,,,,2021-7-22
1038,Origin Protocol,,Flash Loan Attack,8000000,0,,0,0,2020-11-17
2760,LCX,CeFi,Access Control,7940000,0,,0,1,2022-1-8
2693,Anyswap,,Access Control,7907718,0,,0,0,2021-7-10
823,Warp Finance,Borrowing and Lending,Flash Loan Attack,7800000,5800000,,0,0,2020-12-18
3263,DFX Finance,Exchange (DEX),Other,7645284,204800,,1,1,2022-11-10
763,BurgerSwap,Exchange (DEX),Flash Loan Attack,7200000,0,,0,0,2021-5-29
2774,FinNexus,,Access Control,7000000,0,,0,0,2021-5-17
931,Value DeFi,Exchange (DEX),Flash Loan Attack,7000000,2000000,,0,0,2020-11-14
2556,DAO Maker,Stablecoin,Other,6884420,0,,,,2021-8-12
2748,Bondly,,Access Control,6800987,6800987,,0,1,2021-7-14
2600,Luna Yield,,Rugpull,6709834,4025900,,,,2021-8-20
2986,Alchemix,Other,Other,6500000,0,,0,0,2021-6-18
2950,PicoStocks,CeFi,Access Control,6420000,6420000,,0,0,2013-11-29
3130,AniMoon,NFT,Rugpull,6300000,0,,0,0,2022-6-2
760,Belt Finance,,Flash Loan Attack,6300000,0,,0,0,2021-5-29
2849,Hundred Finance (2),Borrowing and Lending,Other,6200000,0,,0,0,2022-3-15
3278,Safuu Protocol,Yield Aggregator,Rugpull,6073083,0,,1,1,2022-11-21
2900,DragonEx,CeFi,Rugpull,6030000,0,,0,0,2019-3-24
3315,LendHub,Borrowing and Lending,Other,6000000,0,,0,0,2023-1-12
3152,Kronos Dao,"Stablecoin,Yield Aggregator",Other,6000000,0,,0,0,2022-5-19
3129,My Big Coin,"Other,Token",Rugpull,6000000,0,,0,0,2022-7-21
2906,MapleChange,CeFi,Other,5880000,0,,0,0,2018-10-28
3288,Lodestar Finance,Borrowing and Lending,Flash Loan Attack,5800000,0,,0,0,2022-12-10
2689,Squid Game,Gaming / Metaverse,Rugpull,5723268,0,,0,0,2021-11-1
2573,XSURGE,,Flash Loan Attack,5570000,0,,0,0,2021-8-16
2850,Agave,Borrowing and Lending,Other,5500000,0,,0,0,2022-3-15
2865,ETERBASE,CeFi,Access Control,5400000,0,,0,0,2020-9-8
2707,Roll,,Access Control,5389203,750000,,0,0,2021-3-14
2812,Bitstamp,CeFi,Access Control,5263614,0,,0,1,2015-1-4
3114,Solana Slope Wallet,Other,Other,5200000,0,,0,0,2022-8-3
3287,Ankr,Exchange (DEX),Access Control,5000000,0,,0,1,2022-12-2
3039,Osmosis,Exchange (DEX),Other,5000000,0,,1,1,2022-6-8
2888,Bitrue,CeFi,Access Control,5000000,5000000,,0,0,2019-6-26
2779,XDX Swap,Exchange (DEX),Other,5000000,5000000,,0,0,2021-7-2
2930,Yapizon,CeFi,Other,4980000,0,,0,0,2017-4-22
3120,ZBExchange,Exchange (DEX),Other,4767945,0,,0,0,2022-8-1
2975,Bitcoin Savings and Trust,,Rugpull,4630000,0,,0,0,2012-7-2
3106,TEDDY DOGE,Exchange (DEX),Rugpull,4500000,0,,1,0,2022-7-25
2697,Eleven Finance,Yield Aggregator,Other,4500000,4200000,,0,0,2021-6-22
2595,xToken (2),Token,Flash Loan Attack,4500000,0,,0,0,2021-8-29
3293,Raydium,Exchange (DEX),Access Control,4400000,0,,1,0,2022-12-16
2818,Meter.io,,Other,4400000,0,,0,0,2022-2-6
2583,ChainSwap (2),,Other,4400000,0,,,,2021-7-11
2552,THORChain,Exchange (DEX),Other,4364612,0,,,,2021-7-15
3279,DeFiAI,"Exchange (DEX),Yield Aggregator",Rugpull,4173646,0,,0,0,2022-11-13
2798,Solfire,,Rugpull,4055803,0,,0,0,2022-1-23
3314,GMX Phishing,Other,Phishing,4000000,0,,0,0,2023-1-3
2953,GBL,CeFi,Rugpull,4000000,0,,0,0,2013-10-26
2671,OneCoin,,Rugpull,4000000,0,,0,0,2016-3-7
2623,DAO Maker (2),,Other,4000000,0,,,,2021-9-4
2559,Maze Protocol,,Other,4000000,3800000,,0,0,2021-8-11
3070,XCarnival,,Other,3837110,1746801,,1,0,2022-6-26
2555,DODO,Exchange (DEX),Other,3800000,3100000,,,,2021-3-9
2541,Bogged Finance,Exchange (DEX),Flash Loan Attack,3642100,0,,0,0,2021-5-22
3318,Luke Dashjr,Other,Access Control,3600000,0,,0,1,2022-12-31
2883,Ola.finance,,Other,3600000,0,,0,0,2022-3-31
3108,Nirvana Finance,Stablecoin,Flash Loan Attack,3574635,0,,1,0,2022-7-28
3150,Pokemoney,"Gaming / Metaverse,NFT",Rugpull,3500000,0,,0,0,2022-5-26
3124,Dragoma,Token,Rugpull,3500000,0,,0,0,2022-8-7
3025,PokeMoney,,Rugpull,3500000,0,,0,0,2022-5-27
2821,Hundred Finance,Borrowing and Lending,Other,3300000,0,,0,0,2022-2-6
962,Cheese Bank,Borrowing and Lending,Flash Loan Attack,3300000,0,,0,0,2020-11-6
143,HoneySwap.Fi,,Rugpull,3280848,0,,,,2021-2-28
2741,Ref Finance,Exchange (DEX),Other,3202539,3202539,,0,0,2021-8-15
2914,Coinsecure,CeFi,Access Control,3200000,0,,0,0,2018-4-12
2626,Zabu Finance,,Other,3200000,0,,,,2021-9-12
2870,Cashaa,CeFi,Access Control,3090000,0,,0,0,2020-7-11
2833,OpenSea (2),,Access Control,3056651,0,,0,0,2022-2-20
2844,DEUS Finance,Other,Flash Loan Attack,3024325,0,,0,0,2022-3-15
2690,Vesper Finance,,Other,3003942,0,,,,2021-11-2
3306,Rich Dwarves Tribe,NFT,Abandoned,3000000,0,,1,0,2022-1-23
3302,BTC.com,CeFi,Other,3000000,0,,0,1,2022-12-3
3266,Skyward Finance,"Exchange (DEX),Token",Other,3000000,0,,0,0,2022-11-1
2922,OKEx,CeFi,Other,3000000,0,,0,0,2017-10-2
2772,PolkaTrain,,Other,3000000,0,,0,0,2021-4-5
2763,Tinyman,,Other,3000000,0,,0,0,2022-1-1
2634,SushiSwap,"Borrowing and Lending,Exchange (DEX)",Other,2993606,2993606,,,,2021-9-16
2994,Fortress Loans,,Other,2976004,0,,1,0,2022-5-8
2875,IOTA wallet,,Other,2910000,0,,0,0,2020-2-12
146,Wallstreetswap Finance,,Rugpull,2905021,0,,0,0,2021-2-15
2756,MetaDAO,Token,Honeypot,2826509,0,,0,0,2021-12-27
2794,Multichain (Anyswap),,Other,2726413,2522800,,0,0,2022-1-18
2804,IDO rug pulls,,Rugpull,2661699,0,,0,0,2022-1-12
2842,Fantasm Finance,,Other,2622097,0,,0,0,2022-3-9
2828,BNB42,,Rugpull,2602079,0,,0,0,2022-2-14
2987,PYE,,Other,2600000,0,,0,0,2022-3-24
2787,Fetch.ai,,Access Control,2600000,0,,0,0,2021-8-14
3317,FCS,Token,Rugpull,2588000,0,,0,0,2023-1-4
3192,Boy X Highspeed (2),Yield Aggregator,Other,2584890,0,,1,0,2022-9-20
2934,Purse,,Access Control,2510000,2510000,,0,0,2015-10-11
2742,Zapper,,Other,2500000,2500000,,0,0,2021-6-14
277,Emerald Mine,,Rugpull,2500000,0,,,,2020-9-9
2651,PancakeBunny,Yield Aggregator,Flash Loan Attack,2395931,2395931,,0,0,2021-7-16
3214,TempleDAO,Yield Aggregator,Other,2376872,0,,1,0,2022-10-11
2943,BitPay,,Access Control,2370000,0,,0,0,2014-9-12
2732,Evolved Apes,,Rugpull,2339031,0,,0,0,2021-10-6
63,Turtledex,,Rugpull,2324610,0,,,,2021-3-16
2754,Fairmoon,,Rugpull,2300000,0,,0,0,2021-5-19
3084,Bifrost,Other,Other,2248328,0,,1,1,2022-7-8
116,PopcornSwap,,Rugpull,2241690,0,,,,2021-1-28
51,Deriswap (the 1st fake),Stablecoin,Rugpull,2170264,0,,,,2020-11-23
2896,BitoPro,CeFi,Other,2170000,0,,0,0,2019-5-2
3041,ApolloX,,Other,2150414,0,,1,0,2022-6-8
2932,Gatecoin,CeFi,Access Control,2140000,0,,0,0,2016-5-10
3311,Dictum Exchange,Exchange (DEX),Rugpull,2100000,0,,0,0,2022-12-31
3043,Gym Network,,Other,2100000,0,,1,1,2022-6-8
2860,stazie,,Access Control,2072967,0,,0,0,2021-7-31
2627,AFKSystems Finance,,Rugpull,2017053,0,,,,2021-9-10
3132,Mirror Protocol (2),"Borrowing and Lending,Other",Oracle Issue,2000000,0,,0,1,2022-5-31
2998,Mad Meerkat Finance,Exchange (DEX),Other,2000000,0,,1,0,2022-5-4
2988,Revest,,Other,2000000,0,,0,0,2022-3-27
2810,MintPal,CeFi,Access Control,2000000,0,,0,1,2014-7-13
2791,Circle,CeFi,Access Control,2000000,0,,0,1,2021-7-9
2687,AutoSharkFinance (2),Exchange (DEX),Other,2000000,0,,,,2021-10-29
811,Akropolis,,Flash Loan Attack,2000000,0,,0,0,2020-11-12
2682,PancakeHunny (2),,Other,1984749,0,,,,2021-10-20
2827,Titano,,Other,1949111,0,,0,0,2022-2-14
2923,Coinis,CeFi,Access Control,1930000,0,,0,0,2017-9-21
2944,BTER,CeFi,Rugpull,1910000,0,,0,0,2014-8-15
2590,Percent Finance,Borrowing and Lending,Other,1900000,0,,,,2020-11-4
2547,BT.Finance,Yield Aggregator,Flash Loan Attack,1867271,0,,0,0,2021-2-8
2882,CoinTiger,CeFi,Access Control,1800000,0,,0,0,2019-8-17
2864,Ledger (2),,Access Control,1800000,0,,0,0,2020-10-24
2773,PancakeSwap (2),Exchange (DEX),Other,1800000,0,,0,0,2021-4-12
2937,BTER (2),CeFi,Access Control,1790000,0,,0,0,2015-2-15
2744,Bent Finance,Yield Aggregator,Other,1786520,0,,0,0,2021-12-21
3268,Gate.io,CeFi,Access Control,1750000,0,,0,1,2015-2-14
2698,EVODeFi,,Flash Loan Attack,1735747,0,,1,0,2021-6-10
2817,DePo,,Access Control,1723632,0,,0,1,2022-2-4
3113,Reaper Farm,Yield Aggregator,Other,1700000,0,,1,1,2022-8-2
2843,PARALUNI,,Other,1661107,0,,0,0,2022-3-13
3136,Acala Swap,Stablecoin,Other,1600000,0,,0,1,2022-8-14
2912,Taylor,CeFi,Access Control,1580000,0,,0,0,2018-5-21
2755,MetaMask Governance (fake),Token,Honeypot,1548908,0,,0,0,2021-12-28
2853,OneRing,,Flash Loan Attack,1508300,0,,0,0,2022-3-21
3163,Pragma Money,"Exchange (DEX),Yield Aggregator",Rugpull,1500000,0,,1,0,2022-5-5
3060,LV Metaverse,,Rugpull,1500000,0,,0,0,2022-6-21
2999,FEGtoken,,Flash Loan Attack,1500000,0,,1,0,2022-5-15
2931,Bitcurex (2),CeFi,Other,1500000,0,,0,0,2016-10-15
2811,MintPal (2),CeFi,Access Control,1500000,0,,0,1,2014-10-19
2776,JulSwap,,Flash Loan Attack,1500000,0,,0,0,2021-5-28
2551,Levyathan,,Other,1500000,0,,,,2021-7-30
2477,PolyButterfly,,Rugpull,1500000,0,,0,0,2021-6-5
3244,Universe Token,Exchange (DEX),Access Control,1447175,0,,0,0,2022-10-27
3085,OMNI,"Borrowing and Lending,NFT",Reentrancy,1430000,0,,1,0,2022-7-10
3300,Rubic,Exchange (DEX),Other,1420000,0,,1,0,2022-12-25
2548,GROWTH DeFi,,Rugpull,1401772,0,,,,2021-2-8
3307,CryptoBike,Gaming / Metaverse,Rugpull,1400000,0,,1,0,2022-1-1
2872,Uniswap,,Other,1400000,0,,0,0,2020-4-18
2868,2gether,CeFi,Rugpull,1400000,0,,0,0,2020-7-31
3009,Venus Protocol,Borrowing and Lending,Other,1350000,0,,1,1,2022-5-13
3002,Day of Defeat,,Rugpull,1350000,0,,1,0,2022-5-6
2751,UFCT,,Rugpull,1323077,0,,0,0,2021-11-19
3305,Frosties,NFT,Abandoned,1300000,0,,1,0,2022-1-9
2366,Uranium Finance,,Other,1300000,0,,,,2021-4-8
73,LaserSwap Cash,,Rugpull,1280809,0,,,,2021-3-15
2749,Monkey Kingdom,,Other,1273618,1273618,,0,0,2021-12-21
3254,Solend (2),Borrowing and Lending,Oracle Issue,1260000,0,,0,0,2022-11-2
3056,Inverse Finance (2),Borrowing and Lending,Flash Loan Attack,1260000,0,,1,0,2022-6-16
3180,New Free DAO,Other,Flash Loan Attack,1250372,0,,0,0,2022-9-8
2816,Big Daddy Ape Club,,Rugpull,1237622,0,,0,0,2022-1-11
2704,Zenon Network,,Other,1209467,0,,0,0,2021-11-20
3158,Hunter Global,Exchange (DEX),Rugpull,1200000,0,,1,0,2022-5-8
3225,BitKeep,CeFi,Other,1192464,0,,0,1,2022-10-17
3165,HeroCat,"NFT,Token",Rugpull,1177347,0,,1,0,2022-8-30
3217,QAN Platform (2),Bridge,Access Control,1165500,0,,1,1,2022-10-11
3211,Jumpn Finance,Token,Rugpull,1143446,0,,0,0,2022-10-9
2730,NowSwap Protocol,,Other,1142357,0,,0,0,2021-9-15
2831,TopGoal,,Access Control,1135097,0,,0,1,2022-2-16
2715,Axion Network,,Other,1127696,0,,0,0,2020-11-2
3110,Rikkei Finance,"Borrowing and Lending,NFT",Oracle Issue,1115266,0,,0,0,2022-4-15
2692,Blizzard,,Other,1109632,0,,0,0,2021-11-13
2728,Brinc Finance,,Other,1103568,0,,0,0,2021-12-14
3055,Treasure Swap,Exchange (DEX),Other,1100000,0,,0,0,2022-6-10
2942,EgoPay,,Access Control,1100000,0,,0,0,2015-1-23
96,Ethereum Yield,,Abandoned,1099672,0,,,,2021-2-11
3101,Audius,Other,Other,1086000,0,,0,1,2022-7-23
3209,Sovryn,"Borrowing and Lending,Exchange (DEX)",Other,1078194,0,539097,0,1,2022-10-4
2711,CollectCoin,,Other,1071931,0,,0,0,2021-12-1
2929,Bithumb,CeFi,Access Control,1040000,0,,0,0,2017-6-3
3021,DecentraWorld,,Rugpull,1037288,0,,1,0,2022-5-24
2799,OpenSea,,Other,1019300,75000,,0,0,2022-1-24
2887,Soxex,CeFi,Rugpull,1000000,0,,0,0,2019-7-4
2886,Bitcoin Norway,CeFi,Other,1000000,1000000,,0,0,2019-7-4
2788,Sentinel DVPN,,Access Control,1000000,0,,0,0,2021-8-21
2658,ApeRocket (2),,Flash Loan Attack,1000000,0,,0,0,2021-7-14
3275,King Tribe,"NFT,Token",Rugpull,997086,0,,1,0,2022-11-6
3199,Profanity Wallet Hack,Other,Access Control,977550,0,,0,0,2022-9-18
2702,Visor Finance (2),,Flash Loan Attack,972616,0,,0,0,2021-11-26
2840,Bacon Protocol,,Flash Loan Attack,957166,957166,,0,0,2022-3-5
2905,Electrum,Other,Access Control,949000,0,,0,0,2018-12-27
2723,8ight Finance,,Access Control,923719,0,,0,0,2021-12-6
3146,SudoRare,NFT,Rugpull,883201,0,,1,0,2022-8-23
3297,ElasticSwap,Exchange (DEX),Other,850000,0,,0,0,2022-12-13
2769,Armor.Fi,,Other,850000,0,,0,0,2021-2-28
